sku_id,channel_id,center_id,week_start_date,category_l1,category_l2,brand,demand_pred,stockout_risk_pred_proba,stockout_risk_pred_label,available_qty,inbound_qty_next_1w,inbound_qty_next_2w,inbound_qty_next_4w,inventory_position_qty,inventory_cover_weeks,safety_stock_qty,lead_time_weeks,review_period_weeks,target_cover_weeks,target_inventory_qty,raw_order_need,recommended_order_qty,recommended_action,action_reason,moq_qty,order_multiple,min_order_amount,unit_cost,open_po_qty,overdue_po_qty,promo_flag,manual_override_flag,override_type,override_reason
SKU0001,GLOBAL_MALL,FC_DONGTAN,2025-11-03,Beauty,Skincare,Mellow Dew,2.5130612711833127,5.538479524761808e-05,0.0,172,0,0,0,172,86.0,3.162277660168378,4,2,6,18.240645287268254,0.0,0,HOLD,HOLD: inventory position sufficient,30,6,543655.2,18121.84,61,61,0,0,,
SKU0001,GLOBAL_MALL,FC_DONGTAN,2025-11-10,Beauty,Skincare,Mellow Dew,2.7117238353915107,4.551335159130267e-05,0.0,146,0,0,0,146,64.88888888888889,2.9580398915498067,4,2,6,19.228382903898872,0.0,0,HOLD,HOLD: inventory position sufficient,30,6,543655.2,18121.84,61,61,0,0,,
SKU0001,GLOBAL_MALL,FC_DONGTAN,2025-11-17,Beauty,Skincare,Mellow Dew,2.5140305285526496,4.45701580403904e-05,0.0,140,0,0,110,250,142.85714285714286,2.1794494717703348,4,2,6,17.263632643086233,0.0,0,REDUCE,REDUCE: severe excess cover with open PO and excessive near-term inbound supply to review,30,6,543655.2,18121.84,171,61,0,0,,
SKU0001,GLOBAL_MALL,FC_DONGTAN,2025-11-24,Beauty,Skincare,Mellow Dew,2.665617817546963,3.610374987366219e-05,0.0,126,0,0,110,236,188.8,1.6583123951776977,4,2,6,17.65201930045948,0.0,0,REDUCE,REDUCE: severe excess cover with open PO and excessive near-term inbound supply to review,30,6,543655.2,18121.84,171,61,0,0,,
SKU0001,GLOBAL_MALL,FC_DONGTAN,2025-12-01,Beauty,Skincare,Mellow Dew,3.3827288965506934,4.387067852304685e-05,0.0,99,0,110,110,209,92.88888888888889,2.1794494717703348,4,2,6,22.475822851074497,0.0,0,REDUCE,REDUCE: severe excess cover with open PO and excessive near-term inbound supply to review,30,6,543655.2,18121.84,171,61,0,0,,
SKU0001,GLOBAL_MALL,FC_DONGTAN,2025-12-08,Beauty,Skincare,Mellow Dew,3.344445534036182,0.00063558695556,0.0,83,110,110,110,193,64.33333333333333,3.1622776601683777,4,2,6,23.228950864385467,0.0,0,REDUCE,REDUCE: severe excess cover with open PO and excessive near-term inbound supply to review,30,6,543655.2,18121.84,171,61,0,0,,
SKU0001,GLOBAL_MALL,FC_DONGTAN,2025-12-15,Beauty,Skincare,Mellow Dew,4.004213805261174,0.0041826609484897,0.0,70,0,0,104,174,53.53846153846154,2.9580398915498067,4,2,6,26.983322723116853,0.0,0,REDUCE,REDUCE: severe excess cover with open PO and excessive near-term inbound supply to review,30,6,543655.2,18121.84,275,171,0,0,,
SKU0001,GLOBAL_MALL,FC_INCHEON,2025-11-03,Beauty,Skincare,Mellow Dew,2.5375438437976534,0.0004663061344198,0.0,76,0,81,81,157,89.71428571428571,2.179449471770337,4,2,6,17.404712534556257,0.0,0,REDUCE,REDUCE: severe excess cover with open PO and excessive near-term inbound supply to review,30,6,543655.2,18121.84,101,20,0,0,,
SKU0001,GLOBAL_MALL,FC_INCHEON,2025-11-10,Beauty,Skincare,Mellow Dew,2.192440866047975,0.0001608762004862,0.0,67,81,81,81,148,84.57142857142857,2.179449471770337,4,2,6,15.334094668058187,0.0,0,REDUCE,REDUCE: severe excess cover with open PO and excessive near-term inbound supply to review,30,6,543655.2,18121.84,101,20,0,0,,
SKU0001,GLOBAL_MALL,FC_INCHEON,2025-11-17,Beauty,Skincare,Mellow Dew,2.4582836427326606,3.453282959042849e-05,0.0,109,0,0,73,182,182.0,2.0000000000000004,4,2,6,16.749701856395966,0.0,0,REDUCE,REDUCE: severe excess cover with open PO and excessive near-term inbound supply to review,30,6,543655.2,18121.84,116,43,0,0,,
SKU0001,GLOBAL_MALL,FC_INCHEON,2025-11-24,Beauty,Skincare,Mellow Dew,2.1241216629733897,3.75997631334776e-05,0.0,116,0,0,73,189,126.0,3.3166247903554003,4,2,6,16.061354768195738,0.0,0,REDUCE,REDUCE: severe excess cover with open PO and excessive near-term inbound supply to review,30,6,543655.2,18121.84,93,20,0,0,,
SKU0001,GLOBAL_MALL,FC_INCHEON,2025-12-01,Beauty,Skincare,Mellow Dew,2.2316966859657823,2.60487869196716e-05,0.0,100,0,73,73,173,86.5,2.8284271247461903,4,2,6,16.218607240540884,0.0,0,REDUCE,REDUCE: severe excess cover with open PO and excessive near-term inbound supply to review,30,6,543655.2,18121.84,93,20,0,0,,
SKU0001,GLOBAL_MALL,FC_INCHEON,2025-12-08,Beauty,Skincare,Mellow Dew,2.1249988248399907,6.276307224453202e-05,0.0,89,73,73,73,162,92.57142857142856,2.9580398915498085,4,2,6,15.708032840589752,0.0,0,REDUCE,REDUCE: severe excess cover with open PO and excessive near-term inbound supply to review,30,6,543655.2,18121.84,93,20,0,0,,
SKU0001,GLOBAL_MALL,FC_INCHEON,2025-12-15,Beauty,Skincare,Mellow Dew,2.2348706864845407,0.000298357331918,0.0,71,0,0,69,140,70.0,2.4494897427831783,4,2,6,15.858713861690422,0.0,0,REDUCE,REDUCE: severe excess cover with open PO and excessive near-term inbound supply to review,30,6,543655.2,18121.84,162,93,0,0,,
SKU0001,GLOBAL_MALL,MFC_GANGNAM,2025-11-03,Beauty,Skincare,Mellow Dew,2.165739222280328,5.978286076241161e-05,0.0,88,0,54,54,142,142.0,1.4142135623730951,4,2,6,14.408648896055062,0.0,0,REDUCE,REDUCE: severe excess cover with open PO and excessive near-term inbound supply to review,30,6,543655.2,18121.84,134,80,0,0,,
SKU0001,GLOBAL_MALL,MFC_GANGNAM,2025-11-10,Beauty,Skincare,Mellow Dew,2.151027086658388,0.0001080152632072,0.0,80,54,54,54,134,178.66666666666666,1.6583123951777,4,2,6,14.564474915128027,0.0,0,REDUCE,REDUCE: severe excess cover with open PO and excessive near-term inbound supply to review,30,6,543655.2,18121.84,134,80,0,0,,
SKU0001,GLOBAL_MALL,MFC_GANGNAM,2025-11-17,Beauty,Skincare,Mellow Dew,2.091412467804449,0.0001699423340393,0.0,68,0,0,69,137,137.0,1.4142135623730951,4,2,6,13.962688369199789,0.0,0,REDUCE,REDUCE: severe excess cover with open PO and excessive near-term inbound supply to review,30,6,543655.2,18121.84,203,134,0,0,,
