sku_id,channel_id,center_id,week_start_date,target_demand_next_1w,baseline_pred,demand_pred,abs_error,ape,error,promo_flag,stockout_flag,inventory_cover_weeks,forecast_error_direction,high_ape_flag
SKU0001,GLOBAL_MALL,FC_DONGTAN,2025-11-03,2.0,2.0,2.5130612711833127,0.5130612711833127,0.2565306355916563,0.5130612711833127,0,0,52.0,OVER_FORECAST,0
SKU0001,GLOBAL_MALL,FC_DONGTAN,2025-11-10,2.0,2.25,2.7117238353915107,0.7117238353915107,0.3558619176957553,0.7117238353915107,0,0,52.0,OVER_FORECAST,0
SKU0001,GLOBAL_MALL,FC_DONGTAN,2025-11-17,4.0,1.75,2.5140305285526496,1.4859694714473504,0.3714923678618376,-1.4859694714473504,0,0,52.0,UNDER_FORECAST,0
SKU0001,GLOBAL_MALL,FC_DONGTAN,2025-11-24,5.0,1.25,2.665617817546963,2.334382182453037,0.4668764364906074,-2.334382182453037,0,0,52.0,UNDER_FORECAST,0
SKU0001,GLOBAL_MALL,FC_DONGTAN,2025-12-01,4.0,2.25,3.3827288965506934,0.6172711034493066,0.1543177758623266,-0.6172711034493066,0,0,52.0,UNDER_FORECAST,0
SKU0001,GLOBAL_MALL,FC_DONGTAN,2025-12-08,3.0,3.0,3.344445534036182,0.3444455340361818,0.1148151780120606,0.3444455340361818,0,0,52.0,OVER_FORECAST,0
SKU0001,GLOBAL_MALL,FC_DONGTAN,2025-12-15,2.0,3.25,4.004213805261174,2.004213805261174,1.002106902630587,2.004213805261174,0,0,52.0,OVER_FORECAST,1
SKU0001,GLOBAL_MALL,FC_DONGTAN,2025-12-22,5.0,3.75,3.9650439770926647,1.0349560229073351,0.206991204581467,-1.0349560229073351,0,0,52.0,UNDER_FORECAST,0
SKU0001,GLOBAL_MALL,FC_INCHEON,2025-11-03,0.0,1.75,2.5375438437976534,2.5375438437976534,,2.5375438437976534,0,0,52.0,OVER_FORECAST,0
SKU0001,GLOBAL_MALL,FC_INCHEON,2025-11-10,4.0,1.75,2.192440866047975,1.807559133952025,0.4518897834880062,-1.807559133952025,0,0,52.0,UNDER_FORECAST,0
SKU0001,GLOBAL_MALL,FC_INCHEON,2025-11-17,2.0,1.0,2.4582836427326606,0.4582836427326606,0.2291418213663303,0.4582836427326606,0,0,52.0,OVER_FORECAST,0
SKU0001,GLOBAL_MALL,FC_INCHEON,2025-11-24,1.0,1.5,2.1241216629733897,1.1241216629733897,1.1241216629733897,1.1241216629733897,0,0,52.0,OVER_FORECAST,1
SKU0001,GLOBAL_MALL,FC_INCHEON,2025-12-01,1.0,2.0,2.2316966859657823,1.2316966859657823,1.2316966859657823,1.2316966859657823,0,0,52.0,OVER_FORECAST,1
SKU0001,GLOBAL_MALL,FC_INCHEON,2025-12-08,1.0,1.75,2.1249988248399907,1.1249988248399907,1.1249988248399907,1.1249988248399907,0,0,52.0,OVER_FORECAST,1
SKU0001,GLOBAL_MALL,FC_INCHEON,2025-12-15,1.0,2.0,2.2348706864845407,1.234870686484541,1.234870686484541,1.234870686484541,0,0,52.0,OVER_FORECAST,1
